Item code,Description,Lead time (Days)
2207,**INACTIVE**PSS STRIP 1/4 IN X 1.5 IN (SUB),7
221,**INACTIVE**3M 1525L 4.4 MIL 1 PSA 9.75 IN,35
222,TIGHT REL 53# LNR 6 IN,28
223,TIGHT REL 53# LNR 1.625 IN,28
224,TIGHT REL 53# LNR 2 IN,28
225,TIGHT REL 53# LNR 2.5 IN,28
226,TIGHT REL 53# LNR 3 IN,28
227,TIGHT REL 53# LNR 3.5 IN,28
228,TIGHT REL 53# LNR 4 IN,28
229,TIGHT REL 53# LNR 7.5 IN,28
230,TIGHT REL 53# LNR 5 IN FLEXCON 50K-6,21
231,TIGHT REL 53# LNR 5.5 IN,28
232,EASY REL 53# LNR 4 IN,35
233,**INACTIVE**EASY REL 53# LNR 3.5 IN,35
234,**INACTIVE**EASY REL PET LNR 3.5 IN,35
235,EASY REL 3 MIL PET LNR 4 IN,42
236,**INACTIVE**MEDIUM REL 83# LNR 3.5 IN,105
237,MEDIUM REL83# LNR 4 IN,105
238,**INACTIVE**MEDIUM REL 83# LNR 1.5 IN,105
239,**INACTIVE**MEDIUM REL 53# LNR 3.5 IN,35
240,**INACTIVE**MEDIUM REL 53# LNR 4 IN,35
241,"**INACTIVE**TIGHT REL LNR, 2.5 IN MPM",0
242,"**INACTIVE**TIGHT REL LNR, 3 IN MPM",0
243,**INACTIVE**TIGHT REL LNR 3.5 IN CARRINGTON,21
244,**INACTIVE**TIGHT REL LNR 4 IN CARRINGTON,7
245,PRTD DSCOPE PED 92# LNR 3.5 IN,7
246,PRTD DSCOPE ADLT PET LNR 4 IN,7
247,PRTD DSCOPE LA 92# LNR 2.5 IN,7
248,PRTD DSCOPE PET CLEAR  LNR 3.5 IN,7
249,PRTD DSCOPE ADLT 92# LNR 4 IN,7
250,**INACTIVE**AVERY HIGH GLOSS REM (R-195) 3.5 IN,56
251,LABEL PEDI FLEXISENSOR,14
252,LABEL ADLT FLEXISENSOR,21
253,LABEL LA FLEXISENSOR,21
254,LABEL NEONATE BAND,21
255,**INACTIVE**LABEL MEDLINE 4 X 4,0
256,**INACTIVE**LABEL MEDLINE 6 X 6,0
257,**INACTIVE**TECHNIPAQ 1073B TYVEK 14 IN,42
258,**INACTIVE**TECHNIPAQ 1073B TYVEK 15.5 IN,42
259,1073B TYVEK COATED 10 IN,21
260,DELSTAR 7.9 OZ LYOCEL NLYB-E 2.5 IN,42
261,**INACTIVE**DELSTAR 8.0 NP2-A 3 IN,35
262,7.9 OZ LYOCEL NLYB-E 4.25 IN,49
263,DELSTAR 8.4 NLYB-E/W 2 IN,35
264,"""PURGE"" DELSTAR 8.4 NLYB-E/W 4 IN",35
265,**INACTIVE**DELSTAR 8.4 NLYB-E/W 4.25 IN,35
266,DELSTAR NET 7.0 IN,42
267,**INACTIVE**1058D TYVEK 4 IN,42
268,**INACTIVE**AET 2.8 NP5-E/E 3 IN,35
269,**INACTIVE**AET 2.8 NP5-E/E 2 IN,35
270,**INACTIVE**DERMD 2002 SONTARA 1 PSA 3 IN,35
271,DERMD 2002 SONTARA 1 PSA 4.5 IN,35
272,DERMD 2002 SONTARA 1 PSA 6.5 IN,35
273,DERMD 2002 SONTARA 1 PSA 2.5 IN,35
274,**INACTIVE**DERMD SONTARA 2 PSA 3 IN,35
275,**INACTIVE**DERMD SONTARA 2 PSA 3.4375 IN,35
276,**INACTIVE**DRMD-FRUED TAN NW 1 PSA 8 IN,35
277,**INACTIVE**DERMD-FRUED TAN NW 1 PSA 9.75 IN,35
278,**INACTIVE**4 MIL CELL NWVN 1 PSA 2.5 2089A,0
279,**INACTIVE**4 MIL CELL/RAY NWVN 1PSA 4.5 IN 2089A,0
280,**INACTIVE**4 MIL CELL/RAY NWVN 1PSA 4.727 IN 2089A,56
281,DERMD 6001 SONTARA PU 1 PSA 4.5 IN,84
282,DERMD 6001 SONTARA PU 1 PSA 6.5 IN,56
283,DERMD SONTARA PU 1 PSA 3 IN,35
284,**INACTIVE**POLYKEN DUCT TAPE 2 IN,56
285,**INACTIVE**PINK FOAM 10 IN,56
286,**INACTIVE**PINK FOAM 9.5 IN,56
287,**INACTIVE**1/16 WHITE X-LINKED PE FOAM 1PSA 2.5 IN,0
288,3M 9777L IVORY PVC FOAM TAPE 3.5 IN (SUB),35
289,3M 9777L IVORY PVC FOAM TAPE 4 IN,35
290,**INACTIVE**3M 9777L IVORY PVC FOAM 1 PSA 72# LNR 5 IN,35
291,1/4 IN WHITE LATEX FOAM 7444 w/PSA 44 IN MASTER ROLL,42
292,1/4 IN WHITE LATEX FOAM 6 IN (SUB),7
