Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,ItemCode,ItemDescription,Price,Cost,GP,Gp%,,,,,
,,1043,MPM WOUNDGARD 4X4 DRSG STERILE,0.2258,0.426161,-0.200361,-0.8873383525243579,,,,,
,,1044,MPM WOUNDGARD 5X5 DRSG STERILE,0.5,0.608293,-0.10829299999999997,-0.21658599999999995,,,,,
,,1076,DERMA SCIENCE SORBACELL FM DRSG 4 X 4  RM84344,0.8164,0.265608,0.550792,0.6746594806467417,,,,,
,,1078,**INACTIVE**AFASSCO  2X3 AQUA SKIN BURN DRSG,0.861,0.434444,0.426556,0.4954192799070848,,,,,
,,1080,BRAZA PETAL TOPS - COCOA,0.0492,0.034094,0.015106000000000001,0.3070325203252033,,,,,
,,1086,"**INACTIVE**HDS HYDGL W ZINC, ALOE 13.25 IN",26.08,35.564,-9.484000000000002,-0.3636503067484663,,,,,
,,1102,MUELLER MORE SKIN 12 X 12,5.51,4.59585,0.9141499999999994,0.16590744101633384,,,,,
,,1104,DERMA SCIENCE SORBACELL FOAM DRSG  2 X 2 RM84322,0.26,0.201712,0.058288000000000006,0.2241846153846154,,,,,
,,1113,MUELLER BLISTER PADS MAN229,0.102,0.043353,0.05864699999999999,0.574970588235294,,,,,
,,1122,"Non-woven Medical Tape  3M 1533-L 6"" X 72 YDS",72.41,53.02174,19.388259999999995,0.2677566634442756,,,,,
,,1157,DERMA SCIENCE SORBACELL FOAM DRSG 1X8 RM84318,0.462,0.2558,0.2062,0.4463203463203463,,,,,
,,1166,DERMA SCIENCE FOAM TRACH DRSG 4X4 RM84501,1.17,0.631989,0.5380109999999999,0.4598384615384615,,,,,
,,1167,DERMA/MCKESS  P/L 2X2 HYG SHT STERILE MCK6182022,36.4,49.598277,-13.198277000000004,-0.3625900274725276,,,,,
,,1168,DERMA/MCKESS P/L 2X3 HYG SHT STERILE MCK6182023,83.62,42.980424,40.639576000000005,0.4860030614685482,,,,,
