Unnamed: 0,Unnamed: 1,WHITEBOARD TARGETS vs ACTUALS,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,MFG REVENUE TARGETS vs ACTUALS by Equipment# and Part #,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,SHIPMENT Rev & Profit TARGET,Unnamed: 25,Unnamed: 26,Unnamed: 27,SHIPMENT REVENUE TARGETS vs ACTUALS by Part # and Lot #,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,"QUALITY PRODUCT RELEASES (PRE-STERILE, NON Sterile, STERILE)",Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
,2026-03-18 00:00:00,Plan Revenue,,9372,14244,,,,,,,,,Impulse Sealer 2,5342,52954,Pre-Sterile ,52560,36936,17821.6725,12523.99725,,,,,,,,,,,,,,,,,,,,,,
,,Act Revenue,,0,0,,,,,,,,,Pace,4152,54388,Non-Sterile,0,0,0,0,"McKESSON 61-82044 DRESSING, HYDROGEL SHEET STR LF 4X4",,,,,,,,,,,,,,,,,,,,,
,2026-03-19 00:00:00,Plan Revenue,,8640,6804,,,,,,,,,,5045,53517,Non-Sterile,0,0,0,0,FREUDENBERG 30cm X 47cm Nonwoven Sheets 122P0463,,,,,,,,,,,,,,,,,,,,,
,,Act Revenue,,0,0,,,,,,,,,,5354,53246,Non-Sterile,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
,2026-03-20 00:00:00,Plan Revenue,,12960,6804,,,,,,,,,,5344,54837,Non-Sterile,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
,,Act Revenue,,0,0,,,,,,,,,,A-22004,54390,Non-Sterile,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
,2026-03-23 00:00:00,Plan Revenue,,12960,6804,,,,,,,,,PCI-2,609,53977,Non-Sterile,0,0,0,0,MEDISTRIP 1/4 IN X 3 IN BULK,,,,,,,,,,,,,,,,,,,,,
,,Act Revenue,,0,0,,,,,,,,,,610,53978,Non-Sterile,3160.7999999999997,3160.7999999999997,895.8739319999997,895.8739319999997,MEDISTRIP 1 IN X 4 IN BULK,,,,,,,,,,,,,,,,,,,,,
,2026-03-24 00:00:00,Plan Revenue,,12960,6804,,,,,,,,,,6008,54646,Non-Sterile,0,0,0,0,"MEDLINE CURAD MEDISTRIP 1/4 X 1.5 IN, STERILE NON250114",,,,,,,,,,,,,,,,,,,,,
,,Act Revenue,,0,0,,,,,,,,,,6013,54648,Non-Sterile,0,0,0,0,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,,,,,,,,,,,,,,,,,,,,,
