ItemCode,(All),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,ScheduledShipDate,(All).1,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,9065728.639999999,
Department,Total,,,,,,,,,,,,Data,
Filling OP,3051959.9400000004,,,,,,,,,,ItemCode,ItemDescription,Site Total Sales Revenue,Sum of Profit
,,,,,,,,,,,6009,MEDLINE CURAD MEDISTRIP 1/8 X 3 IN STERILE NON250318,444.08,20.396550999999988
,,,,,,,,,,,5528,D* Mentha Viridis (Spearmint) Leaf Oil CAS# 8008-79-5 KOSHER,367.09,
,,,,,,,,,,,5975,"MEDLINE SUREFILM 2"" X 11 YARDS MSC2402",319.56,173.612568
,,,,,,,,,,,7525,D* BLANOSE™ CMC 7MF CAS#9004-32-4  KOSHER,278.53,
,,,,,,,,,,,6327,ALOE VERA LEAF GEL DECOLORIZED 10X # AG014 CAS#94349-62-9,277.54,
,,,,,,,,,,,5522,D* Aloe Barbadensis Leaf JuiceCAS#85507-69-3 KOSHER,257.89,
,,,,,,,,,,,5527,D* Mentha Arvensis (Cornmint) Leaf Oil CAS# 68917-18-0 KOSHER,135.48,
,,,,,,,,,,,5530,D* Sodium Fluoride CAS#7681-49-4  KOSHER,124.13,
,,,,,,,,,,,5686,D* Citric Acid CAS# 77-92-9,85.64,
,,,,,,,,,,,6901,D* ASCORBIC ACID CAS# 50-81-7  KOSHER,76.02,
,,,,,,,,,,,7573,AUSTRALIAN TEA TREE OIL #50-6270-01,66.99,
,,,,,,,,,,,Grand Total,,9065728.639999999,
