PONumber,EntryDate,VendorCode,VendorName,ItemCode,ItemDescription,OrderQuantity,UOM,OriginalOrderQuantity,QtyRecv,DueDate,ReceivedDate,Comments
51635,2025-11-25,LONGGANG  ,"Longgang Zhongchuang Printing Co, Ltd",007531                  ,"Cohesive Paper Unprinted Natural Latex 8.75""",1326400,LF  ,1326400,0,2026-03-09,01/01/1900,
51659,2025-12-02,PENNCO    ,Pennco Container,007174                  ,475 ml Bottle Capri Oval PET 28/410,89400,EA  ,89400,0,2026-03-09,01/01/1900,
51732,2025-12-09,WUJIANG   ,Wujiang Tongli Press,006248                  ,"ACM 2X2 COLLAGEN PAD SBS .016"" CTN 3.625"" X .5000"" X 4.625""",2500,EA  ,2500,0,2026-03-09,01/01/1900,
51893,2026-01-08,NINGBO    ,Ningbo Chinmed Technology,004282                  ,"R007 18 MIL HYDROCOLLOID 9.448"" (24cm)",1744,LY  ,1744,0,2026-03-09,01/01/1900,
51897,2026-01-08,WUJIANG   ,Wujiang Tongli Press,006110                  ,"MEDLINE SUREFILM .018 SBS CARTON 4"" X 11yd MSC2404",3000,EA  ,3000,0,2026-03-09,01/01/1900,
51931,2026-01-13,LBB       ,"LBB Specialties Holdings, LLC",007305                  ,Morton Culinox 999 food grade salt,680400,GM  ,680400,0,2026-03-09,01/01/1900,
52115,2026-02-09,APPLE     ,"Apple Corrugated Packaging, Inc.",000592                  ,BOX 5.5 X 5 X 6,230,EA  ,1000,770,2026-03-09,02/18/2026,
52115,2026-02-09,APPLE     ,"Apple Corrugated Packaging, Inc.",003745                  ,"BOX 9.5"" X 8.5"" X 5.875"" RSC, 32 ECT",5860,EA  ,5860,0,2026-03-09,01/01/1900,
52115,2026-02-09,APPLE     ,"Apple Corrugated Packaging, Inc.",003746                  ,"BOX 16.75""x8.5""x12.625"" RSC, 32 ECT",1200,EA  ,1200,0,2026-03-09,01/01/1900,
52115,2026-02-09,APPLE     ,"Apple Corrugated Packaging, Inc.",003748                  ,"BOX 16.75""x8.625""x12.625 RSC, 32 ECT",1200,EA  ,1200,0,2026-03-09,01/01/1900,
52115,2026-02-09,APPLE     ,"Apple Corrugated Packaging, Inc.",003751                  ,"BOX 15.75""x8.5""x13.75"" RSC, 32 ECT",1000,EA  ,1000,0,2026-03-09,01/01/1900,
52115,2026-02-09,APPLE     ,"Apple Corrugated Packaging, Inc.",007477                  ,URGO - Shipper Box (1 Liter),3110,EA  ,3110,0,2026-03-09,01/01/1900,
52115,2026-02-09,APPLE     ,"Apple Corrugated Packaging, Inc.",007478                  ,"URGO – 10.250"" x 10.3125"" x 9.0625"" Box (475 mL)",2500,EA  ,2500,0,2026-03-09,01/01/1900,
52115,2026-02-09,APPLE     ,"Apple Corrugated Packaging, Inc.",007479                  ,URGO - Shipper Box (250 mL),14580,EA  ,14580,0,2026-03-09,01/01/1900,
52115,2026-02-09,APPLE     ,"Apple Corrugated Packaging, Inc.",007480                  ,URGO – 9.8125” x 9.5” x 5.75” Box (118 mL),2500,EA  ,2500,0,2026-03-09,01/01/1900,
52116,2026-02-09,BANA      ,Bana Box,007165                  ,URGO- Partition - 6 x 4 Cells Vashe 4oz/118ml,1440,EA  ,1440,0,2026-03-09,01/01/1900,
52116,2026-02-09,BANA      ,Bana Box,007171                  ,URGO - Partition - 3 x 4 Cells Vashe 8.5oz/250ml,16310,EA  ,16310,0,2026-03-09,01/01/1900,
52116,2026-02-09,BANA      ,Bana Box,007178                  ,URGO - Partition - 3 x 4 Cells Vashe 16oz/475ml,2200,EA  ,2200,0,2026-03-09,01/01/1900,
52116,2026-02-09,BANA      ,Bana Box,007184                  ,URGO - Partition - 2 x 3 Cells Vashe 1L/946ml,3400,EA  ,3400,0,2026-03-09,01/01/1900,
52127,2026-02-09,WUJIANG   ,Wujiang Tongli Press,007945                  ,IMPLUS SKIN BLISTER PAD CARTON 2ND SKIN,17000,EA  ,17000,0,2026-03-09,01/01/1900,
52153,2026-02-12,EVER SCIEN,CAPLUGS,007193                  ,URGO - Dust Cover Instillation Cap JS-19,37500,EA  ,37500,0,2026-03-09,01/01/1900,
52153,2026-02-12,EVER SCIEN,CAPLUGS,007456                  ,URGO - Dust Cover JS-TU-12 (250mL) Instill Cap,2500,EA  ,2500,0,2026-03-09,01/01/1900,
52158,2026-02-12,HARTYS    ,PSK Printing & Shipping,007759                  ,OVERLABEL MPM COOL MAGIC 6X8,9900,EA  ,9900,0,2026-03-09,01/01/1900,
51802,2025-12-18,WUJIANG   ,Wujiang Tongli Press,007968                  ,SBS carton for 50mL Pauselife,27000,EA  ,27000,0,2026-03-10,01/01/1900,
51802,2025-12-18,WUJIANG   ,Wujiang Tongli Press,007969                  ,SBS carton for 15mL Pauselife,27000,EA  ,27000,0,2026-03-10,01/01/1900,
51895,2026-01-08,TECHNIPAQ ,Technipaq Inc.,002579                  ,AMCOR PPG-30 PAPER 8.0 IN UNPRINTED,21000,LF  ,21000,0,2026-03-10,01/01/1900,
