,,,Sterile / Non-Sterile,,,,,,,Line/Machine,Part #,Lot #,Sterile / Non-Sterile,Plan Revenue,Act Revenue,Planned Profit $,Actual Profit $,Description,,No ,0,0,,Part #,Lot Numbers,Planned Ship Revenue,Actual Ship Revenue,Planned Profit $,Actual Profit $,,Description,,Line/Machine,Part #,Lot #,Sterile / Non-Sterile,Plan Revenue,Act Revenue,Description
,2026-02-16 00:00:00,Plan Revenue,,6965.599999999999,27560.4,,,,,Do Boy,3424,54078,Pre-Sterile ,69300,53487,13475.253,10400.44527,"MPM Cool Magic Gel Sheet 6.0""x8.0"" OL MP00208",,,,,,4582,,0,0,0,0,,,,,4152,54388,Non-Sterile,0,0,
,,Act Revenue,,0,42234,,,,,H Pack 1,1673,54393,Non-Sterile,0,0,0,0,BI OVERLAY #1 - ITALY,,,,,,4980,53759,0,0,0,0,,,,,A-22004,54390,Non-Sterile,0,0,
,2026-02-17 00:00:00,Plan Revenue,,6965.599999999999,40323.12,,,,,,1674,54394,Non-Sterile,0,0,0,0,BI OVERLAY #2 - ITALY,,,,,,4978,53764,29838.6,8476.875,-49.103999999999644,-13.9499999999999,,EMED SOFT-SITE TEGADERM DRESSING 112X51MM  MS-0010201,,,5045,53517,Non-Sterile,0,0,
,,Act Revenue,,0,24300,,,,,H Pack 3,5005,54173,Pre-Sterile ,42556.8,15862.08,16785.791880000004,6256.522428,IMPLUS SKIN BLISTER PADS 4742300,,,,,,7487,53929,80928,0,45333.7032,0,,"CARDINAL HEALTH TELFA ADHESIVE DRESSING 2""x3"" 6017",,,5354,53246,Non-Sterile,0,0,
,2026-02-18 00:00:00,Plan Revenue,,6965.599999999999,34202.2,,,,,Hudson 1,3777,54640,Non-Sterile,0,0,0,0,,,,,,,4804,54435,68378,68377.99999999999,34322.659999999996,34322.659999999996,,"KCI PEEL AND PLACE PREVENA LONG 416697, Rev. B",,PCI-2,610,53978,Non-Sterile,3160.7999999999997,3160.7999999999997,
,,Act Revenue,,0,10994.865,,,,,Impulse Sealer 1,4152,54388,Pre-Sterile ,104484.00000000003,106225.4,18490.64519999999,18798.822619999988,"McKESSON 61-82044 DRESSING, HYDROGEL SHEET STR LF 4X4",,,,,,7543,54778,0,0,0,0,,,,,609,53977,Non-Sterile,0,0,
,2026-02-19 00:00:00,Plan Revenue,,38980.08,14683.4,,,,,Impulse Sealer 2,5342,52954,Pre-Sterile ,52560,36936,17821.6725,12523.99725,,,,,,,7544,54782,0,0,0,0,,,,,6013,54648,Non-Sterile,0,0,
,,Act Revenue,,18509.352,9682.29,,,,,Pace,4152,54388,Non-Sterile,0,0,0,0,"McKESSON 61-82044 DRESSING, HYDROGEL SHEET STR LF 4X4",,,,,,F-22004                 ,54527,1520,1520,578.82,578.82,,5 SITE SEMI-OCCLUSIVE STRIP,,,6008,54646,Non-Sterile,0,0,
,2026-02-20 00:00:00,Plan Revenue,,51943.68,34111,,,,,,5045,53517,Non-Sterile,0,0,0,0,FREUDENBERG 30cm X 47cm Nonwoven Sheets 122P0463,,,,,,A-22004,54390,0,0,0,0,,,,Preco,5342,52954,Non-Sterile,52560,51566.4,
,,Act Revenue,,42984.6,6593.125,,,,,,5354,53246,Non-Sterile,0,0,0,0,,,,,,,F-22007                 ,54535,8599.199999999999,8169.24,5724.502359999999,5438.277241999999,,"ADVANCED 2"" × 200' ROLL SEMI-OCCLUSIVE",,,5341,53247,Non-Sterile,0,0,
,2026-02-23 00:00:00,Plan Revenue,52560,67028.08,26274.6,,,,,,5344,54837,Non-Sterile,0,0,0,0,,,,,,,F-22008                 ,54536,4134.4,4031.04,1654.2248,1612.8691800000001,,"ADVANCED 2"" × 200' ROLL OCCLUSIVE",,Rewind 1,F-22007                 ,54535,Non-Sterile,8599.199999999999,8169.24,
,,Act Revenue,0,60642.792,0,,,,,,A-22004,54390,Non-Sterile,0,0,0,0,,,,,,,Grand Total,,997697.12,313580.095,346481.275424,120292.464233,,,,,F-22008                 ,54536,Non-Sterile,4134.4,4031.04,
,2026-02-24 00:00:00,Plan Revenue,230496.66,67028.08,23562,,,,,PCI-2,609,53977,Non-Sterile,0,0,0,0,MEDISTRIP 1/4 IN X 3 IN BULK,,,,,,,,,,,,,,,Scout,4980,53759,Non-Sterile,0,0,
,,Act Revenue,0,59930.424,0,,,,,,610,53978,Non-Sterile,3160.7999999999997,3160.7999999999997,895.8739319999997,895.8739319999997,MEDISTRIP 1 IN X 4 IN BULK,,,,,,,,,,,,,,,,7544,54782,Non-Sterile,0,0,
,2026-02-25 00:00:00,Plan Revenue,104483.99999999999,37554.8,21879,,,,,,6008,54646,Non-Sterile,0,0,0,0,"MEDLINE CURAD MEDISTRIP 1/4 X 1.5 IN, STERILE NON250114",,,,,,,,,,,,,,,,7543,54778,Non-Sterile,0,0,
,,Act Revenue,0,29371.800000000003,0,,,,,,6013,54648,Non-Sterile,0,0,0,0,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,,,,,,,,,,,,,,,Sterilizer EO,4152,54388,Sterile,104483.99999999999,0,
,2026-02-26 00:00:00,Plan Revenue,,35616,16560,,,,,Preco,5341,53247,Non-Sterile,0,0,0,0,ISI EXTRA LARGE ALUMI-HAND 761,,,,,,,,,,,,,,,,7487,53929,Sterile,80928,0,
,,Act Revenue,,25846.2,14572.8,,,,,,5342,52954,Non-Sterile,52560,51566.4,17821.6725,17484.769650000002,,,,,,,,,,,,,,,,,5045,53227,Sterile,44825,0,
,2026-02-27 00:00:00,Plan Revenue,,32466,23184,,,,,Rewind 1,F-22007                 ,54535,Non-Sterile,8599.199999999999,8169.24,5724.502359999999,5438.277241999999,"ADVANCED 2"" × 200' ROLL SEMI-OCCLUSIVE",,,,,,,,,,,,,,,,6011,54629,Sterile,43227.6,0,
,,Act Revenue,,12439.2,15235.199999999999,,,,,,F-22008                 ,54536,Non-Sterile,4134.4,4031.04,1654.2248,1612.8691800000001,"ADVANCED 2"" × 200' ROLL OCCLUSIVE",,,,,,,,,,,,,,,,6013,54648,Sterile,34317,0,
,Total Plan Revenue,,514794.12,576110.52,482903,,,,,Scout,4980,53759,Non-Sterile,0,0,0,0,,,,,,,,,,,,,,,,,6039,53933,Sterile,16480,0,
,Total Act Revenue,,27230.94,426867.56799999997,292942.28,,,,,,7543,54778,Non-Sterile,0,0,0,0,,,,,,,,,,,,,,,,,6008,54646,Sterile,10719.06,0,
,,,,,,,,,,,7544,54782,Non-Sterile,0,0,0,0,,,,,,,,,,,,,,,,Sterilizer GAMMA,5342,52954,Sterile,52560,0,
,,,,,,,,,,Grand Total,,,,1059013.52,692993.7230000001,347027.8638219999,254200.90120000002,,,,,,,,,,,,,,,,,5005,54173,Sterile,42556.8,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grand Total,,,,997697.1200000001,313580.095,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
