SONumber,LineNumber,ItemCode,ItemDescription,CustomerCode,CustomerName,OrderQuantity,UnitPrice,ExtendedLineAmount,Order date,Requested Ship date,lead_time_days,mfg_start_date,earliest_ship_date,feasibility,days_margin,Profit,late_penalty,holding_cost,adjusted_profit,ship_month
64904,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",20.0,5.5,110.0,2026-01-19,2026-04-14,14,2026-02-25,2026-03-11,ON_TIME,34.0,26.68056,0.0,3.4,23.28056,2026-03
64905,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",10.0,5.5,55.0,2026-01-19,2026-04-14,14,2026-02-25,2026-03-11,ON_TIME,34.0,13.34028,0.0,1.7,11.64028,2026-03
64906,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",10.0,5.5,55.0,2026-01-19,2026-04-14,14,2026-02-25,2026-03-11,ON_TIME,34.0,13.34028,0.0,1.7,11.64028,2026-03
64907,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",30.0,5.5,165.0,2026-01-19,2026-04-14,14,2026-02-25,2026-03-11,ON_TIME,34.0,40.02084,0.0,5.1000000000000005,34.92084,2026-03
64909,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",10.0,5.5,55.0,2026-01-19,2026-04-14,14,2026-02-25,2026-03-11,ON_TIME,34.0,13.34028,0.0,1.7,11.64028,2026-03
64912,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",10.0,5.5,55.0,2026-01-19,2026-04-14,14,2026-02-25,2026-03-11,ON_TIME,34.0,13.34028,0.0,1.7,11.64028,2026-03
64913,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",10.0,5.5,55.0,2026-01-19,2026-04-14,14,2026-02-25,2026-03-11,ON_TIME,34.0,13.34028,0.0,1.7,11.64028,2026-03
64915,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",10.0,5.5,55.0,2026-01-19,2026-04-14,14,2026-02-25,2026-03-11,ON_TIME,34.0,13.34028,0.0,1.7,11.64028,2026-03
64940,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",40.0,5.5,220.0,2026-02-02,2026-04-28,14,2026-02-25,2026-03-11,ON_TIME,48.0,53.36112,0.0,9.6,43.76112,2026-03
64942,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",40.0,5.5,220.0,2026-02-02,2026-04-28,14,2026-02-25,2026-03-11,ON_TIME,48.0,53.36112,0.0,9.6,43.76112,2026-03
64944,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",70.0,5.5,385.0,2026-02-02,2026-04-28,14,2026-02-25,2026-03-11,ON_TIME,48.0,93.38196,0.0,16.8,76.58196000000001,2026-03
64945,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",80.0,5.5,440.0,2026-02-02,2026-04-28,14,2026-02-25,2026-03-11,ON_TIME,48.0,106.72224,0.0,19.2,87.52224,2026-03
64946,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",60.0,5.5,330.0,2026-02-02,2026-04-28,14,2026-02-25,2026-03-11,ON_TIME,48.0,80.04168,0.0,14.4,65.64168,2026-03
64947,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",30.0,5.5,165.0,2026-02-02,2026-04-28,14,2026-02-25,2026-03-11,ON_TIME,48.0,40.02084,0.0,7.2,32.82084,2026-03
64951,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",100.0,5.5,550.0,2026-02-02,2026-04-28,14,2026-02-25,2026-03-11,ON_TIME,48.0,133.4028,0.0,24.0,109.40280000000001,2026-03
64952,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",20.0,5.5,110.0,2026-02-02,2026-04-28,14,2026-02-25,2026-03-11,ON_TIME,48.0,26.68056,0.0,4.8,21.88056,2026-03
64953,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",40.0,5.5,220.0,2026-02-02,2026-04-28,14,2026-02-25,2026-03-11,ON_TIME,48.0,53.36112,0.0,9.6,43.76112,2026-03
64996,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",20.0,5.5,110.0,2026-02-16,2026-05-11,14,2026-02-25,2026-03-11,ON_TIME,61.0,26.68056,0.0,6.1000000000000005,20.58056,2026-03
64997,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",10.0,5.5,55.0,2026-02-16,2026-05-11,14,2026-02-25,2026-03-11,ON_TIME,61.0,13.34028,0.0,3.0500000000000003,10.29028,2026-03
64998,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",20.0,5.5,110.0,2026-02-16,2026-05-11,14,2026-02-25,2026-03-11,ON_TIME,61.0,26.68056,0.0,6.1000000000000005,20.58056,2026-03
