ItemCode,(All),Unnamed: 2,Unnamed: 3,ScheduledShipDate,(All).1,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,,,,,,9065728.639999999,,,,,,,,,,,,,,,,,,,,
Department,Total,,,,,,Data,,,,,,,,,,,,,,,,,,,
,,,,"Medline Industries, Inc.",609,MEDISTRIP 1/4 IN X 3 IN BULK,20825,8688.727250000002,,,,,,,,,,,,,,,,,,
,,,,,6008,"MEDLINE CURAD MEDISTRIP 1/4 X 1.5 IN, STERILE NON250114",11366.520000000002,5724.264002000003,,,,,,,,,,,,,,,,,,
,,,,,6011,MEDLINE CURAD MEDISTRIP 1/4 X 4 IN STERILE NON250414,52890.239999999976,24128.362336000006,,,,,,,,,,,,,,,,,,
,,,,,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,61992,30267.602567999995,,,,,,,,,,,,,,,,,,
,,,,,6039,MEDLINE SURESITE 4 X 4.75 MSC2304,44410.6,21305.308370000006,,,,,,,,,,,,,,,,,,
,,,,,610,MEDISTRIP 1 IN X 4 IN BULK,6877.5,2585.05485,,,,,,,,,,,,,,,,,,
,,,,,5117,MEDLINE OPTIFOAM THIN 4x4 MSC1544EP,17028,3303.335519999999,,,,,,,,,,,,,,,,,,
,,,,,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,13585,3295.049159999998,,,,,,,,,,,,,,,,,,
,,,,,5116,MEDLINE OPTIFOAM THIN 2X3 MSC1523EP,20865.18,7255.406403000003,,,,,,,,,,,,,,,,,,
,,,,,5979,"MEDLINE SUREFILM 4"" X 11 YARDS MSC2404",32121.6,15156.725280000002,,,,,,,,,,,,,,,,,,
,,,,,6010,MEDLINE CURAD MEDISTRIP 1/2 X 4 IN STERILE NON250412,114342,37213.08817199998,,,,,,,,,,,,,,,,,,
,,,,,6012,MEDLINE CURAD MEDISTRIP 1/4 X 3 IN STERILE NON250314,26440.920000000002,18846.976499999997,,,,,,,,,,,,,,,,,,
,,,,,6009,MEDLINE CURAD MEDISTRIP 1/8 X 3 IN STERILE NON250318,444.08,20.396550999999988,,,,,,,,,,,,,,,,,,
,,,,,606,MEDISTRIP 1/8 IN X 3 IN BULK,969,299.4573250000001,,,,,,,,,,,,,,,,,,
,,,,,4785,"MEDLINE 119883 10""x16"" Instrument Drape",12960,9027.806724,,,,,,,,,,,,,,,,,,
,,,,,4357,CURAD MEDIPLAST WART REMOVER CUR01496,172836.7200000001,68052.94960799995,,,,,,,,,,,,,,,,,,
,,,,,5975,"MEDLINE SUREFILM 2"" X 11 YARDS MSC2402",319.56,173.612568,,,,,,,,,,,,,,,,,,
,,,,EMED Technologies Corp,4978,EMED SOFT-SITE TEGADERM DRESSING 112X51MM  MS-0010201,114532,30995.840000000004,,,,,,,,,,,,,,,,,,
,,,,,1917,EMED  2.375 X 2.75 PRTD DRESS,129600,55678.319999999985,,,,,,,,,,,,,,,,,,
,,,,Centurion Medical Products Corp,609,MEDISTRIP 1/4 IN X 3 IN BULK,2499,1042.6472700000002,,,,,,,,,,,,,,,,,,
,,,,,610,MEDISTRIP 1 IN X 4 IN BULK,14344.5,5391.68583,,,,,,,,,,,,,,,,,,
,,,,,2977,MEDLINE DRSG SURESITE 4.75 X 4 FRAME/LABL (MSC52281),36720,9242.340084,,,,,,,,,,,,,,,,,,
,,,,,6010,MEDLINE CURAD MEDISTRIP 1/2 X 4 IN STERILE NON250412,5100,1659.8165999999999,,,,,,,,,,,,,,,,,,
,,,,Freudenberg Performance Materials LP,5045,FREUDENBERG 30cm X 47cm Nonwoven Sheets 122P0463,163000,59639.999999999985,,,,,,,,,,,,,,,,,,
,,,,Orora Business Service Center,6370,TB DRY MOUTH TINGLING RINSE 16 OZ BULK 40101908,66664.28,24570.221424999996,,,,,,,,,,,,,,,,,,
,,,,,5639,"D* Sorbitol Crystalline Powder NF, CAS# 50-70-4 KOSHER",1215.81,,,,,,,,,,,,,,,,,,,
,,,,,5515,D* Dentsil DS 60 HYDRATED SILICA - CAS#112926-00-8 KOSHER,2414.7,,,,,,,,,,,,,,,,,,,
,,,,,5703,D* Glycerin 99.7% CAS# 56-81-5  KOSHER,1661.22,-310.0944000000001,,,,,,,,,,,,,,,,,,
,,,,,5517,D* Cooling Type Flavor Natural 113.90468 KOSHER,790.04,,,,,,,,,,,,,,,,,,,
,,,,,5518,"D* Mint Flavor WONF OS, Natural 113.19228 CAS# 68917-18-0 KOSHER",963.58,,,,,,,,,,,,,,,,,,,
,,,,,7525,D* BLANOSE™ CMC 7MF CAS#9004-32-4  KOSHER,278.53,,,,,,,,,,,,,,,,,,,
,,,,,5520,D* Tetrapotassium Pyrophosphate CAS#7320-34-5 1614086,8331.11,,,,,,,,,,,,,,,,,,,
,,,,,5521,D* Tetrasodium Pyrophosphate CAS#7722-88-5 KOSHER,3825.84,,,,,,,,,,,,,,,,,,,
,,,,,5522,D* Aloe Barbadensis Leaf JuiceCAS#85507-69-3 KOSHER,257.89,,,,,,,,,,,,,,,,,,,
,,,,,5686,D* Citric Acid CAS# 77-92-9,85.64,,,,,,,,,,,,,,,,,,,
,,,,,5525,D* AmmoniumGlycyrrhizate Magnasweet 110-2X CAS#53956-04-0 KOSHER,1033.12,,,,,,,,,,,,,,,,,,,
,,,,,6901,D* ASCORBIC ACID CAS# 50-81-7  KOSHER,76.02,,,,,,,,,,,,,,,,,,,
,,,,,5527,D* Mentha Arvensis (Cornmint) Leaf Oil CAS# 68917-18-0 KOSHER,135.48,,,,,,,,,,,,,,,,,,,
,,,,,5528,D* Mentha Viridis (Spearmint) Leaf Oil CAS# 8008-79-5 KOSHER,367.09,,,,,,,,,,,,,,,,,,,
,,,,,5530,D* Sodium Fluoride CAS#7681-49-4  KOSHER,124.13,,,,,,,,,,,,,,,,,,,
,,,,,5590,"BAG, AP2390.11 Arena ""Air-Evac"" Vertex, 3Ply Liquid Liner Bag",1863.13,,,,,,,,,,,,,,,,,,,
,,,,,6323,MINERALIZ GU/Zn CAS# 4468-02-4 KOSHER,4961.39,,,,,,,,,,,,,,,,,,,
,,,,,7224,GREEN TEA PHYTOBASIC IN PG (3345L) KOSHER,853.65,-28.88962499999998,,,,,,,,,,,,,,,,,,
,,,,,6327,ALOE VERA LEAF GEL DECOLORIZED 10X # AG014 CAS#94349-62-9,277.54,,,,,,,,,,,,,,,,,,,
,,,,,6328,CARBOX WAX SENTRY POLYETHYLENE GLYCOL 600 NF CAS#25322-68-3,6977.1,,,,,,,,,,,,,,,,,,,
,,,,,6330,MENTHOL CAS#2216-51-5   KOSHER,867.7,,,,,,,,,,,,,,,,,,,
,,,,,5713,Polysorbate 20 CAS# 9005-64-5,919.01,,,,,,,,,,,,,,,,,,,
,,,,,7573,AUSTRALIAN TEA TREE OIL #50-6270-01,66.99,,,,,,,,,,,,,,,,,,,
,,,,KCII-IRE-IRM,4804,"KCI PEEL AND PLACE PREVENA LONG (35Cm)-416697, Rev D",68378,37319.49999999999,,,,,,,,,,,,,,,,,,
,,,,,4557,PREVENA PEEL AND PLACE TEGADERM SHORT (13Cm)  # 416129 Rev E,99760,39614.000000000015,,,,,,,,,,,,,,,,,,
,,,,KOB Medical Devices (Deutschland)GmbH,3917,KOB MEDICAL WC STRIPS 1/2 X 4 BULK NS 3/CD 46070945,38500,16056.111660000002,,,,,,,,,,,,,,,,,,
,,,,Instrument Specialists Inc,5341,ISI EXTRA LARGE ALUMI-HAND 761,243368,100473.45077999998,,,,,,,,,,,,,,,,,,
,,,,,5342,ISI LARGE ALUMI-HAND 760,228459,85326.39360000001,,,,,,,,,,,,,,,,,,
,,,,"Eurofins CRL Cosmetics, Inc",6319,EUROFINS SEMI-OCCLUSIVE STRIP,28050,11118.255000000003,,,,,,,,,,,,,,,,,,
,,,,,6320,EUROFINS  OCCLUSIVE TEST STRIP,42000,18413.289999999997,,,,,,,,,,,,,,,,,,
,,,,Lavipharm SA,N-4001                  ,,549,,,,,,,,,,,,,,,,,,,
,,,,,1673,BI OVERLAY #1 - ITALY,94000,22146,,,,,,,,,,,,,,,,,,
,,,,,1674,BI OVERLAY #2 - ITALY,118500,11165.00000000001,,,,,,,,,,,,,,,,,,
,,,,Nexgel,6929,NEXGEL SILVER SEAL 2X3 HYDROGEL DRESSING,8029.88,5549.346694,,,,,,,,,,,,,,,,,,
,,,,,6930,NEXGEL TURF GUARD 2X3 HYDROGEL DRESSING,5234.95,3599.398132,,,,,,,,,,,,,,,,,,
,,,,PerioSciences,7769,PERIOSCIENCES AO ProRinse SENSITIVE 10 oz,13702.5,6865.724249999999,,,,,,,,,,,,,,,,,,
,,,,,7794,PERIOSCIENCES AO ProRinse SENSITIVE 32 oz,2025,850.9122000000001,,,,,,,,,,,,,,,,,,
,,,,,7738,PERIOSCIENCES AO PROVANTAGE GEL 15ml,103200,57075.48,,,,,,,,,,,,,,,,,,
,,,,,7751,PERIOSCIENCES AO PROVANTAGE GEL 30 mL,290500,114938.25000000003,,,,,,,,,,,,,,,,,,
,,,,,7795,PERIO AO ProRinse HYDRATING 10 oz,15000,5804.820000000001,,,,,,,,,,,,,,,,,,
,,,,,7803,PERIO AO ProRinse NATURAL 10 oz,12700,-566.0299999999996,,,,,,,,,,,,,,,,,,
,,,,,N-4008                  ,Expedite Fee for 15ml Bottles,2556.79,,,,,,,,,,,,,,,,,,,
,,,,,7811,PERIO AO ProRinse WHITE CARE 10 oz,13912.5,13912.5,,,,,,,,,,,,,,,,,,
,,,,,7812,PERIO AO ProRinse WHITE CARE 32 oz,1390,1390,,,,,,,,,,,,,,,,,,
,,,,"Remedium Healthcare Products, LLC",7832,SkinCentry Premium Silicone Cream 2oz,21000,3294.4349999999977,,,,,,,,,,,,,,,,,,
,,,,,7833,O&M Basic Zinc Paste 4oz,22800,22800,,,,,,,,,,,,,,,,,,
,,,,McKesson Medical Surgical,4152,"McKESSON 61-82044 DRESSING, HYDROGEL SHEET STR LF 4X4",104484,18490.645199999988,,,,,,,,,,,,,,,,,,
,,,,"NAWA, Inc",7903,"NAWA ""Spritz"" cleanser",30000,1006.8599999999994,,,,,,,,,,,,,,,,,,
,,,,DeRoyal Accounts Payable Dept,3843,DeRoyal Episeal Tan 3 Inch Non-Reinforced Material,11088,7710.752,,,,,,,,,,,,,,,,,,
,,,,Implus LLC,5005,IMPLUS SKIN BLISTER PADS 4742300,46800,24278.342399999998,,,,,,,,,,,,,,,,,,
,,,,"The Pause Life Supplements, LLC",7940,Pause life vulva moisturizer 15mL with Xylitol,75250,53751.47499999999,,,,,,,,,,,,,,,,,,
,,,,,7941,Pause life vulva moisturizer 50mL with Xylitol,138250,65448.450000000004,,,,,,,,,,,,,,,,,,
,,,,"Mingguang Glory Sun Precision Technology Co., Ltd.",6145,MEDLINE/GLORY SUN SAFE SECURE FOAM BASE,46800,21851.179999999997,,,,,,,,,,,,,,,,,,
,,,,Advanced Science Laboratories Inc,F-22008                 ,"ADVANCED 2"" × 200' ROLL OCCLUSIVE",4134.4,1782.17168,,,,,,,,,,,,,,,,,,
,,,,,F-22007                 ,"ADVANCED 2"" × 200' ROLL SEMI-OCCLUSIVE",8599.2,5045.37148,,,,,,,,,,,,,,,,,,
,,,,Implus Canada,5121,IMPLUS CANADA BLISTER PADS 4740700,45240,19753.250399999997,,,,,,,,,,,,,,,,,,
,,,,"O&M Halyard, Inc",104,"K-C AVENT TAPE  0.5"" ON MASK #ROSU00588 Rev 3",87300,33494.7,,,,,,,,,,,,,,,,,,
,,,,"Argentum Medical, LLC",N-4001                  ,,13339.02,,,,,,,,,,,,,,,,,,,
,,,,,4191,"ARGENTUM 4 X 8 PRTD ISLAND DRESSING, NS, ID-48",17000,8115.725,,,,,,,,,,,,,,,,,,
,,,,,3069,ARGENTUM 4 X 4 PRTD ISLAND DRSG NS; BULK,28350,23017.505000000005,,,,,,,,,,,,,,,,,,
,,,,,6007,ARGENTUM SILVERLON DRESSING 4.5X12  ID-512,9880,5743.512000000001,,,,,,,,,,,,,,,,,,
,,,,,3693,ARGENTUM 3x4 PRTD ISLAND DRSG BULK,21700,14746.97,,,,,,,,,,,,,,,,,,
,,,,,7981,"4"" x 5"" Therabond 3D Island Dressing 3DAI-45",20002.5,20002.5,,,,,,,,,,,,,,,,,,
,,,,,7982,"2"" x 2"" Therabond 3D Island Dressing 3DAI-22",5040,5040.000000000001,,,,,,,,,,,,,,,,,,
,,,,,,"2"" x 2"" Therabond 3D Island Dressing 3DAI-410",1680,1680.0000000000002,,,,,,,,,,,,,,,,,,
