SONumber,LineNumber,ItemCode,ItemDescription,CustomerCode,CustomerName,ItemSalesClassCode,OrderQuantity,UnitPrice,ExtendedLineAmount,Order date,Requested Ship date,lead_time_days,mfg_start_date,earliest_ship_date,feasibility,days_margin,Profit,gp_pct_cost_sheet,profit_estimated,ship_month
63854,20,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,5.0,123.0,615.0,2025-02-18,2025-05-13,14,2026-02-25,2026-03-11,LATE,-302.0,300.273835,0.4882501382113821,300.27383499999996,2026-03
63855,10,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,37.0,123.0,4551.0,2025-02-18,2025-05-13,14,2026-02-25,2026-03-11,LATE,-302.0,2222.026379,0.4882501382113821,2222.026379,2026-03
63882,20,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,5.0,123.0,615.0,2025-03-04,2025-05-28,14,2026-02-25,2026-03-11,LATE,-287.0,300.273835,0.4882501382113821,300.27383499999996,2026-03
63883,30,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,9.0,123.0,1107.0,2025-03-04,2025-05-28,14,2026-02-25,2026-03-11,LATE,-287.0,540.492903,0.4882501382113821,540.492903,2026-03
63885,10,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,3.0,123.0,369.0,2025-03-04,2025-05-28,14,2026-02-25,2026-03-11,LATE,-287.0,180.164301,0.4882501382113821,180.164301,2026-03
63886,30,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,2.0,123.0,246.0,2025-03-04,2025-05-28,14,2026-02-25,2026-03-11,LATE,-287.0,120.109534,0.4882501382113821,120.109534,2026-03
63887,30,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,9.0,123.0,1107.0,2025-03-04,2025-05-28,14,2026-02-25,2026-03-11,LATE,-287.0,540.492903,0.4882501382113821,540.492903,2026-03
63888,40,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,4.0,123.0,492.0,2025-03-04,2025-05-28,14,2026-02-25,2026-03-11,LATE,-287.0,240.219068,0.4882501382113821,240.219068,2026-03
63890,10,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,1.0,123.0,123.0,2025-03-04,2025-05-28,14,2026-02-25,2026-03-11,LATE,-287.0,60.054767,0.4882501382113821,60.054767,2026-03
63891,30,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,8.0,123.0,984.0,2025-03-04,2025-05-28,14,2026-02-25,2026-03-11,LATE,-287.0,480.438136,0.4882501382113821,480.438136,2026-03
63892,20,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,4.0,123.0,492.0,2025-03-04,2025-05-28,14,2026-02-25,2026-03-11,LATE,-287.0,240.219068,0.4882501382113821,240.219068,2026-03
63897,20,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,2.0,123.0,246.0,2025-03-04,2025-05-28,14,2026-02-25,2026-03-11,LATE,-287.0,120.109534,0.4882501382113821,120.109534,2026-03
63899,10,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,6.0,123.0,738.0,2025-03-04,2025-05-28,14,2026-02-25,2026-03-11,LATE,-287.0,360.328602,0.4882501382113821,360.328602,2026-03
63901,20,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,8.0,123.0,984.0,2025-03-04,2025-05-28,14,2026-02-25,2026-03-11,LATE,-287.0,480.438136,0.4882501382113821,480.438136,2026-03
63902,20,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,1.0,123.0,123.0,2025-03-04,2025-05-28,14,2026-02-25,2026-03-11,LATE,-287.0,60.054767,0.4882501382113821,60.054767,2026-03
63917,1,5342,ISI LARGE ALUMI-HAND 760,ISI       ,Instrument Specialists Inc,MEDICAL   ,6900.0,7.7,53130.0,2025-03-10,2025-12-15,0,2026-02-25,2026-02-25,LATE,-72.0,21331.598400000003,0.4014981818181818,21331.5984,2026-02
63941,30,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,4.0,123.0,492.0,2025-03-18,2025-06-11,14,2026-02-25,2026-03-11,LATE,-273.0,240.219068,0.4882501382113821,240.219068,2026-03
63942,10,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,1.0,123.0,123.0,2025-03-18,2025-06-11,14,2026-02-25,2026-03-11,LATE,-273.0,60.054767,0.4882501382113821,60.054767,2026-03
63943,30,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,3.0,123.0,369.0,2025-03-18,2025-06-11,14,2026-02-25,2026-03-11,LATE,-273.0,180.164301,0.4882501382113821,180.164301,2026-03
63945,10,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,3.0,123.0,369.0,2025-03-18,2025-06-11,14,2026-02-25,2026-03-11,LATE,-273.0,180.164301,0.4882501382113821,180.164301,2026-03
63947,40,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,4.0,123.0,492.0,2025-03-18,2025-06-11,14,2026-02-25,2026-03-11,LATE,-273.0,240.219068,0.4882501382113821,240.219068,2026-03
63948,10,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,4.0,123.0,492.0,2025-03-18,2025-06-11,14,2026-02-25,2026-03-11,LATE,-273.0,240.219068,0.4882501382113821,240.219068,2026-03
63949,10,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,2.0,123.0,246.0,2025-03-18,2025-06-11,14,2026-02-25,2026-03-11,LATE,-273.0,120.109534,0.4882501382113821,120.109534,2026-03
63951,10,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,4.0,123.0,492.0,2025-03-18,2025-06-11,14,2026-02-25,2026-03-11,LATE,-273.0,240.219068,0.4882501382113821,240.219068,2026-03
63955,10,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,6.0,123.0,738.0,2025-03-18,2025-06-11,14,2026-02-25,2026-03-11,LATE,-273.0,360.328602,0.4882501382113821,360.328602,2026-03
63957,10,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,1.0,123.0,123.0,2025-03-18,2025-06-11,14,2026-02-25,2026-03-11,LATE,-273.0,60.054767,0.4882501382113821,60.054767,2026-03
63960,10,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,1.0,123.0,123.0,2025-03-18,2025-06-11,14,2026-02-25,2026-03-11,LATE,-273.0,60.054767,0.4882501382113821,60.054767,2026-03
63961,20,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,4.0,123.0,492.0,2025-03-18,2025-06-11,14,2026-02-25,2026-03-11,LATE,-273.0,240.219068,0.4882501382113821,240.219068,2026-03
63962,30,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,4.0,123.0,492.0,2025-03-18,2025-06-11,14,2026-02-25,2026-03-11,LATE,-273.0,240.219068,0.4882501382113821,240.219068,2026-03
63963,30,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,2.0,123.0,246.0,2025-03-18,2025-06-11,14,2026-02-25,2026-03-11,LATE,-273.0,120.109534,0.4882501382113821,120.109534,2026-03
63964,30,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,6.0,123.0,738.0,2025-03-18,2025-06-11,14,2026-02-25,2026-03-11,LATE,-273.0,360.328602,0.4882501382113821,360.328602,2026-03
64057,1,5045,FREUDENBERG 30cm X 47cm Nonwoven Sheets 122P0463,FREUD     ,Freudenberg Performance Materials LP,MEDICAL   ,25000.0,1.63,40750.0,2025-04-10,2025-10-31,0,2026-02-25,2026-02-25,LATE,-117.0,14909.999999999996,0.3658895705521471,14909.999999999995,2026-02
64069,10,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,13.0,123.0,1599.0,2025-04-14,2025-07-09,14,2026-02-25,2026-03-11,LATE,-245.0,780.711971,0.4882501382113821,780.711971,2026-03
64070,30,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,4.0,123.0,492.0,2025-04-14,2025-07-09,14,2026-02-25,2026-03-11,LATE,-245.0,240.219068,0.4882501382113821,240.219068,2026-03
64075,10,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,3.0,123.0,369.0,2025-04-14,2025-07-09,14,2026-02-25,2026-03-11,LATE,-245.0,180.164301,0.4882501382113821,180.164301,2026-03
64076,60,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,MEDL      ,"Medline Industries, Inc.",MEDICAL   ,10.0,123.0,1230.0,2025-04-14,2025-07-09,14,2026-02-25,2026-03-11,LATE,-245.0,600.5476699999999,0.4882501382113821,600.5476699999999,2026-03
