Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Sterile,,,,,,,,
Pre-Sterile ,,ItemCode,ItemDescription,Price,Cost,GP,Gp%,
,,2391,"PURACOL PLUS EP 4.25"" X 4.5"" MSC8644EP",34.32,30.541196,3.778804000000001,0.11010501165501169,
,,2397,"MPM Strl Spt Drsg  2.375""x2.75"" Overall 1"" x 1.25"" Pad MP00499",0.37,0.561194,-0.19119399999999998,-0.5167405405405405,
,,2398,PHARMCHEM PATCH OVERLAY,0.2835,0.174177,0.10932299999999998,0.3856190476190476,
,,2399,PRECEPT MITSUBISHI SHIELD 10 02 004,0.075,0.085041,-0.010041000000000008,-0.1338800000000001,
,,2439,**INACTIVE**FOAM 6.5 IN MEDISPONGE-30W 0.25T W/ FLESH POLY FILM,15,1.4121,13.5879,0.90586,
,,2485,MEDLINE DRSG 1X3.5 W / 1X1 PAD MSC2413,74.4,58.907726,15.492274000000009,0.20822948924731194,
,,2486,MEDLINE DRSG 2X4.5 W /1.5X2 PAD MSC2424,114,118.876567,-4.876566999999994,-0.04277690350877188,
,,2490,"SPENCO BLISTER KIT 1"" 308-1072",1.49,1.990917,-0.5009170000000001,-0.3361859060402685,
,,2491,**INACTIVE**SPENCO SKIN MOIST PADS 2X3 HYDROGEL 308-1056,1.8,2.572385,-0.7723850000000001,-0.42910277777777783,
,,2501,**INACTIVE**SPENCO SKIN BLISTER PADS 308-1080,1.76,0.739584,1.020416,0.5797818181818182,
,,2507,MEDLINE ARGLAES POSTOP 3.25 X 14 MSC9314,158.21,112.635648,45.574352000000005,0.28806239807850326,
,,2508,**INACTIVE**MEDLINE ARGLAES ANTIMICR 4.75 X 10 MSC9069,140.16,77.752968,62.407032,0.4452556506849315,
,,2523,MEDL ARGLAES ANTIMICR 2 3/8X3 1/4 MSC9023,103.31,90.096264,13.213735999999997,0.12790374600716287,
,,2524,MEDLINE ARGLAES ANTIMICR 4 X 4.75 MSC9045,170.87,114.738487,56.131513,0.3285042020249312,
,,2537,MEDEGEN HANDISTRIPS,0.25,0.487301,-0.23730099999999998,-0.9492039999999999,
,,2542,TELEFLEX ADHESIVE DISC #84215,0.4992,0.24146,0.25773999999999997,1.0674231756812722,
,,2544,SPENCO ADHESIVE KNIT 3X5 INTERNATIONAL 308-1635,1.05,1.046798,0.003202000000000149,0.0030495238095239515,
,,2558,YOU NICE ACNE DRSG 1.75 X 3.25 CARD W/DISCS,0.2983,0.177064,0.12123600000000001,0.4064230640295005,
,,2567,MEDLINE ARGLAES ALGINATE 4  MSC9145,209.63,132.996139,76.633861,0.3655672422840242,
,,2568,MEDLINE ARGLAES ALGINATE 6X9 MSC9169,232.37,137.64197,94.72803000000002,0.407660326203899,
,,2569,SPENCO 2nd Skin ADHESIVE KNIT 308-1361 (Non-Sterile),1.05,3.302115,-2.252115,-2.1448714285714283,
,,2595,HYDROMED ANCHOR TEMPLATE,0.32,0.272612,0.047387999999999986,0.14808749999999996,
,,2624,"4 FOG FILM 12.25"" X 500 LY #6-PRS-0067",386.25,159.799721,226.450279,0.5862790394822006,
,,2626,**INACTIVE**SPENCO SKIN MOIST PADS 2X3 HYDROGEL CANADA 308-1577,1.8,2.572385,-0.7723850000000001,-0.42910277777777783,
,,2629,**INACTIVE**SPENCO SKIN MOIST PADS 2x1.5 HYDROGEL 308-2385,2.58,3.508784,-0.9287839999999998,-0.3599937984496123,
,,2635,**INACTIVE**SPENCO SKIN MOIST PADS 2X1.5 HYDROGEL 1569 BULK,0.3,0.837586,-0.5375860000000001,-1.7919533333333337,
